"UserInput (Clean)","Predicted Bot Response"
"hey","Hello! I am your railway assistant. How can I help you today?"
"hello","Hi there! How can I assist you with your railway queries?"
"hi","Hi there! How can I assist you with your railway queries?"
"good morning","Hello! I am your railway assistant. How can I help you today?"
"good evening","Hi there! How can I assist you with your railway queries?"
"hey there","Hello! I am your railway assistant. How can I help you today?"
"what's up","Hi there! How can I assist you with your railway queries?"
"greetings","Hello! I am your railway assistant. How can I help you today?"
"bye","Take care! Feel free to ask if you have more questions later."
"goodbye","Goodbye! Have a safe journey."
"see you around","Take care! Feel free to ask if you have more questions later."
"see you later","Take care! Feel free to ask if you have more questions later."
"cu","Take care! Feel free to ask if you have more questions later."
"talk to you later","Goodbye! Have a safe journey."
"exit","Goodbye! Have a safe journey."
"yes","I'm not sure how to respond to that. Could you try rephrasing? I can help with railway queries."
"indeed","I'm not sure how to respond to that. Could you try rephrasing? I can help with railway queries."
"of course","Sorry, I didn't quite understand that. I can help with train status, PNR status, finding trains, fares, booking history, ticket cancellation, and station information. How can I assist you?"
"that's right","Sorry, I didn't quite understand that. I can help with train status, PNR status, finding trains, fares, booking history, ticket cancellation, and station information. How can I assist you?"
"correct","Sorry, I didn't quite understand that. I can help with train status, PNR status, finding trains, fares, booking history, ticket cancellation, and station information. How can I assist you?"
"yup","I'm not sure how to respond to that. Could you try rephrasing? I can help with railway queries."
"sure","I'm not sure how to respond to that. Could you try rephrasing? I can help with railway queries."
"sounds good","Sorry, I didn't quite understand that. I can help with train status, PNR status, finding trains, fares, booking history, and ticket cancellations, and station information. How can I assist you?"
"no","Sure, what is the PNR number of the ticket you wish to cancel?"
"never","Sure, what is the PNR number of the ticket you wish to cancel?"
"I don't think so","Sure, what is the PNR number of the ticket you wish to cancel?"
"not really","Please provide the PNR you want to cancel."
"nope","Sure, what is the PNR number of the ticket you wish to cancel?"
"nah","Please provide the PNR you want to cancel."
"are you a bot?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"are you human?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"am I talking to a bot?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"am I talking to a human?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"what are you?","I am a virtual assistant, powered by Rasa, here to help with railway information."
"thanks","No problem at all."
"thank you","You're welcome!"
"appreciate it","Happy to help!"
"thanks a lot","No problem at all."
"much appreciated","No problem at all."
"what can you do?","I can help you with: - Checking train status by train number - Getting PNR status - Finding trains between stations - Checking train fares - Viewing your booking history (if you provide a user ID) - Cancelling a ticket (with PNR) - Getting information about railway stations."
"how can you help me?","I can help you with: - Checking train status by train number - Getting PNR status - Finding trains between stations - Checking train fares - Viewing your booking history (if you provide a user ID) - Cancelling a ticket (with PNR) - Getting information about railway stations."
"what are your features?","I can help you with: - Checking train status by train number - Getting PNR status - Finding trains between stations - Checking train fares - Viewing your booking history (if you provide a user ID) - Cancelling a ticket (with PNR) - Getting information about railway stations."
"what services do you offer?","I can help you with: - Checking train status by train number - Getting PNR status - Finding trains between stations - Checking train fares - Viewing your booking history (if you provide a user ID) - Cancelling a ticket (with PNR) - Getting information about railway stations."
"tell me your capabilities","I can help you with: - Checking train status by train number - Getting PNR status - Finding trains between stations - Checking train fares - Viewing your booking history (if you provide a user ID) - Cancelling a ticket (with PNR) - Getting information about railway stations."
"What is the status of train 10601?","Train 10601 (New Delhi to Hyderabad):\n- Scheduled Departure: 10:39:00\n- Current Status: Delayed"
"train 10602 status","Train 10602 (Bangalore to Mumbai):\n- Scheduled Departure: 21:19:00\n- Current Status: On Time"
"current status for 10805","Train 10805 (Lucknow to New Delhi):\n- Scheduled Departure: 22:10:45\n- Current Status: Delayed"
"tell me about train 10611","Train 10611 (New Delhi to Kolkata):\n- Scheduled Departure: 9:06:00\n- Current Status: Delayed"
"is train 10604 on time?","Train 10604 (Pune to Lucknow):\n- Scheduled Departure: 23:03:00\n- Current Status: Cancelled"
"how is train 10801 running?","Train 10801 (New Delhi to Bangalore):\n- Scheduled Departure: 15:20:10\n- Current Status: On Time"
"update on train 10607","Train 10607 (Hyderabad to New Delhi):\n- Scheduled Departure: 14:08:00\n- Current Status: Delayed"
"check status for train 10628","Train 10628 (Kolkata to Bangalore):\n- Scheduled Departure: 22:36:00\n- Current Status: Delayed"
"is 10615 cancelled?","Train 10615 (Mumbai to Bangalore):\n- Scheduled Departure: 16:56:00\n- Current Status: Cancelled"
"find out about train 10830","Train 10830 (Kolkata to Bangalore):\n- Scheduled Departure: 17:00:00\n- Current Status: Cancelled"
"what's the operational status of 10855","Train 10855 (New Delhi to Kolkata):\n- Scheduled Departure: 20:30:00\n- Current Status: Cancelled"
"train number 10620","Train 10620 (New Delhi to Jaipur):\n- Scheduled Departure: 15:45:00\n- Current Status: On Time"
"check my pnr status 6234567890","PNR Status for 6234567890:\n- Journey Date: 15-Aug-2024\n- Train: 10601 (New Delhi to Hyderabad)\n- Departure Time: 10:39\n- Seat: S5-23\n- Ticket Status: Cancelled\n- Train Operational Status: Delayed"
"pnr 6234567891","PNR Status for 6234567891:\n- Journey Date: 16-Aug-2024\n- Train: 10602 (Bangalore to Mumbai)\n- Departure Time: 21:19\n- Seat: B2-10\n- Ticket Status: Waiting List\n- Train Operational Status: On Time"
"what's the status for PNR 6234567900?","PNR Status for 6234567900:\n- Journey Date: 25-Aug-2024\n- Train: 10611 (New Delhi to Kolkata)\n- Departure Time: 09:06\n- Seat: S1-02\n- Ticket Status: Cancelled\n- Train Operational Status: Delayed"
"PNR enquiry for 6234567925","PNR Status for 6234567925:\n- Journey Date: 19-Sep-2024\n- Train: 10805 (Lucknow to New Delhi)\n- Departure Time: 22:10\n- Seat: S8-65\n- Ticket Status: RAC\n- Train Operational Status: Delayed"
"my PNR is 6234567934, what's its status?","PNR Status for 6234567934:\n- Journey Date: 21-Aug-2024\n- Train: 10607 (Hyderabad to New Delhi)\n- Departure Time: 14:08\n- Seat: A1-20\n- Ticket Status: RAC\n- Train Operational Status: Delayed"
"get pnr details for 6234567956","PNR Status for 6234567956:\n- Journey Date: 15-Sep-2024\n- Train: 10801 (New Delhi to Bangalore)\n- Departure Time: 15:20\n- Seat: B1-41\n- Ticket Status: Confirmed\n- Train Operational Status: On Time"
"tell me about PNR 6234567970","PNR Status for 6234567970:\n- Journey Date: 21-Sep-2024\n- Train: 10816 (Pune to Mumbai)\n- Departure Time: 10:00\n- Seat: S7-53\n- Ticket Status: Confirmed\n- Train Operational Status: Delayed"
"booking status for pnr 6234568011","PNR Status for 6234568011:\n- Journey Date: 15-Aug-2024\n- Train: 10601 (New Delhi to Hyderabad)\n- Departure Time: 10:39\n- Seat: A1-01\n- Ticket Status: RAC\n- Train Operational Status: Delayed"
"find my pnr 6234567905","PNR Status for 6234567905:\n- Journey Date: 30-Aug-2024\n- Train: 10616 (Jaipur to New Delhi)\n- Departure Time: 03:51\n- Seat: A3-07\n- Ticket Status: Confirmed\n- Train Operational Status: Delayed"
"pnr number 6234567913 status","PNR Status for 6234567913:\n- Journey Date: 07-Sep-2024\n- Train: 10624 (Jaipur to Hyderabad)\n- Departure Time: 07:40\n- Seat: A2-11\n- Ticket Status: RAC\n- Train Operational Status: Delayed"
"find trains from New Delhi to Hyderabad","Trains from New Delhi to Hyderabad:\n- Train 10601: Departs at 10:39, Status: Delayed"
"show me trains between Bangalore and Mumbai","Trains from Bangalore to Mumbai:\n- Train 10602: Departs at 21:19, Status: On Time"
"any trains from Kolkata to Jaipur?","Trains from Kolkata to Jaipur:\n- Train 10603: Departs at 02:33, Status: On Time\n- Train 10839: Departs at 20:50, Status: Delayed"
"I want to go from Pune to Lucknow","Trains from Pune to Lucknow:\n- Train 10604: Departs at 23:03, Status: Cancelled\n- Train 10809: Departs at 16:40, Status: Delayed"
"trains to Chennai from Mumbai","Trains from Mumbai to Chennai:\n- Train 10802: Departs at 08:30, Status: Delayed\n- Train 10646: Departs at 15:55, Status: On Time"
"list trains running from Hyderabad to New Delhi","What is your destination station?"
"search for trains between Jaipur and Chennai","Trains from Jaipur to Chennai:\n- Train 10608: Departs at 12:50, Status: On Time"
"I need a train from Lucknow to Bangalore","Trains from Lucknow to Bangalore:\n- Train 10609: Departs at 19:33, Status: Delayed"
"what are the trains from New Delhi to Kolkata","Trains from New Delhi to Kolkata:\n- Train 10611: Departs at 09:06, Status: Delayed\n- Train 10855: Departs at 20:30, Status: Cancelled"
"are there any trains available from Pune to Mumbai?","Trains from Pune to Mumbai:\n- Train 10800: Departs at 06:11, Status: Cancelled\n- Train 10610: Departs at 06:45, Status: On Time\n- Train 10816: Departs at 10:00, Status: Delayed"
"trains New Delhi Hyderabad","Trains from New Delhi to Hyderabad:\n- Train 10601: Departs at 10:39, Status: Delayed"
"Bangalore to Mumbai trains","And where are you travelling to?"
"what's the fare for train 10601 in Sleeper class?","Fares for train 10601:\n- Sleeper: 850.00"
"fare for AC Third on train 10602","Fares for train 10602:\n- AC Third: 1850.00"
"how much is a General ticket for train 10603?","Fares for train 10603:\n- General: 350.00"
"10800 CC fare","Fares for train 10800:\n- CC: 460.00"
"price for AC Second from New Delhi to Bangalore on train 10801","Fares for train 10801:\n- AC Second: 4200.00"
"ticket cost for 10802 in Sleeper","Fares for train 10802:\n- Sleeper: 820.00"
"train 10804 AC First fare from Jaipur to Hyderabad","Fares for train 10804:\n- AC First: 5300.00"
"what is the fare of AC Second class in train 10805?","Fares for train 10805:\n- AC Second: 850.00"
"how much for Sleeper on train 10606 from Mumbai to Kolkata?","Fares for train 10606:\n- Sleeper: 1100.00"
"fare of train 10608 class AC Third","Fares for train 10608:\n- AC Third: 2800.00"
"show me fare for train 10610 in CC","Fares for train 10610:\n- CC: 450.00"
"cost of Sleeper ticket for 10612","Fares for train 10612:\n- Sleeper: 550.00"
"I want to know the fare for AC Second class for train 10601","Fares for train 10601:\n- AC Second: 3150.75"
"fare for Sleeper on train 10601 between New Delhi and Hyderabad","Fares for train 10601:\n- Sleeper: 850.00"
"find fare from Pune to Mumbai in CC","Sure, what is the train number you're interested in?"
"what's the fare in Sleeper class from New Delhi to Hyderabad","Please provide the train number."
"Sleeper fare for 10601","Fares for train 10601:\n- Sleeper: 850.00"
"AC Third price on 10602","Fares for train 10602:\n- AC Third: 1850.00"
"show my booking history","To show your booking history, I need your User ID. Could you please provide it?"
"what are my bookings?","What is your User ID?"
"my user id is 1, show history","Booking history for Rajesh Kumar (User ID: 1):\n- PNR: 6234567949 (Booked: 08-Sep-2024, Journey: 09-Oct-2024)\n  Train: 10644 (Hyderabad to Bangalore)\n  Seat: None, Status: Cancelled\n- PNR: 6234567900 (Booked: 01-Aug-2024, Journey: 25-Aug-2024)\n  Train: 10611 (New Delhi to Kolkata)\n  Seat: S1-02, Status: Cancelled\n- PNR: 6234567890 (Booked: 15-Jul-2024, Journey: 15-Aug-2024)\n  Train: 10601 (New Delhi to Hyderabad)\n  Seat: S5-23, Status: Cancelled"
"check bookings for user 15","Booking history for Alok Jain (User ID: 15):\n- PNR: 6234567954 (Booked: 13-Sep-2024, Journey: 14-Oct-2024)\n  Train: 10649 (New Delhi to Lucknow)\n  Seat: A1-04, Status: Confirmed\n- PNR: 6234567905 (Booked: 10-Aug-2024, Journey: 30-Aug-2024)\n  Train: 10616 (Jaipur to New Delhi)\n  Seat: A3-07, Status: Confirmed"
"Can you show my past tickets for user ID 22?","Booking history for Shreya Patil (User ID: 22):\n- PNR: 6234567911 (Booked: 10-Aug-2024, Journey: 05-Sep-2024)\n  Train: 10622 (Chennai to Bangalore)\n  Seat: B2-40, Status: Confirmed\n- PNR: 6234568012 (Booked: 21-Jul-2024, Journey: 16-Aug-2024)\n  Train: 10602 (Bangalore to Mumbai)\n  Seat: S1-01, Status: Confirmed"
"list my previous bookings, user 30","Booking history for Priyanka Reddy (User ID: 30):\n- PNR: 6234567988 (Booked: 15-Oct-2024, Journey: 11-Nov-2024)\n  Train: 10836 (Jaipur to Mumbai)\n  Seat: S11-40, Status: Confirmed\n- PNR: 6234567924 (Booked: 28-Aug-2024, Journey: 18-Sep-2024)\n  Train: 10804 (Jaipur to Hyderabad)\n  Seat: A2-04, Status: Confirmed\n- PNR: 6234568017 (Booked: 26-Jul-2024, Journey: 22-Aug-2024)\n  Train: 10608 (Jaipur to Chennai)\n  Seat: S11-23, Status: Confirmed"
"I want to see my ticket history, I am user 45","Booking history for Murali Krishna (User ID: 45):\n- PNR: 6234567936 (Booked: 10-Sep-2024, Journey: 26-Sep-2024)\n  Train: 10631 (Lucknow to Hyderabad)\n  Seat: S3-12, Status: Confirmed\n- PNR: 6234568020 (Booked: 29-Jul-2024, Journey: 25-Aug-2024)\n  Train: 10611 (New Delhi to Kolkata)\n  Seat: B5-12, Status: Confirmed\n- PNR: 6234568015 (Booked: 10-Aug-2024, Journey: 20-Aug-2024)\n  Train: 10606 (Mumbai to Kolkata)\n  Seat: HA1-03, Status: Confirmed"
"get all my booked tickets for user 5","Booking history for Vikram Das (User ID: 5):\n- PNR: 6234567951 (Booked: 10-Sep-2024, Journey: 11-Oct-2024)\n  Train: 10646 (Chennai to Mumbai)\n  Seat: S5-49, Status: Confirmed\n- PNR: 6234567894 (Booked: 25-Jul-2024, Journey: 19-Aug-2024)\n  Train: 10605 (Chennai to Pune)\n  Seat: CC-12, Status: Confirmed"
"show me what I booked, my id is 10","Booking history for Kavita Menon (User ID: 10):\n- PNR: 6234567956 (Booked: 20-Aug-2024, Journey: 15-Sep-2024)\n  Train: 10801 (New Delhi to Bangalore)\n  Seat: B1-41, Status: Confirmed\n- PNR: 6234567899 (Booked: 04-Aug-2024, Journey: 24-Aug-2024)\n  Train: 10610 (Pune to Mumbai)\n  Seat: B3-08, Status: Confirmed"
"fetch booking history for user 1","Booking history for Rajesh Kumar (User ID: 1):\n- PNR: 6234567949 (Booked: 08-Sep-2024, Journey: 09-Oct-2024)\n  Train: 10644 (Hyderabad to Bangalore)\n  Seat: None, Status: Cancelled\n- PNR: 6234567900 (Booked: 01-Aug-2024, Journey: 25-Aug-2024)\n  Train: 10611 (New Delhi to Kolkata)\n  Seat: S1-02, Status: Cancelled\n- PNR: 6234567890 (Booked: 15-Jul-2024, Journey: 15-Aug-2024)\n  Train: 10601 (New Delhi to Hyderabad)\n  Seat: S5-23, Status: Cancelled"
"I want to cancel my ticket","Sure, what is the PNR number of the ticket you wish to cancel?"
"cancel PNR 6234567893","PNR 6234567893 is already cancelled."
"please cancel ticket with PNR 6234567904","PNR 6234567904 is already cancelled."
"ticket cancellation for 6234567920","PNR 6234567920 is already cancelled."
"I need to cancel my booking PNR 6234567923","PNR 6234567923 is already cancelled."
"cancel booking 6234567928","PNR 6234567928 is already cancelled."
"how do I cancel my ticket 6234567931","PNR 6234567931 is already cancelled."
"initiate cancellation for PNR 6234567935","PNR 6234567935 is already cancelled."
"can you cancel 6234567942?","PNR 6234567942 is already cancelled."
"I want to cancel the PNR 6234567949","PNR 6234567949 is already cancelled."
"tell me about New Delhi station","Station: New Delhi Railway Station (NDLS) (Delhi)\n- Details: Major hub, Platforms 1-16, Metro connectivity (Yellow & Airport Line). Food courts, waiting rooms, cloak room available."
"tell me about New Delhi Railway Station","Station: New Delhi Railway Station (NDLS) (Delhi)\n- Details: Major hub, Platforms 1-16, Metro connectivity (Yellow & Airport Line). Food courts, waiting rooms, cloak room available."
"info on HYB station","Station: Hyderabad Deccan Nampally (HYB) (Telangana)\n- Details: Main station in Hyderabad city. Retiring rooms, food plaza, and enquiry counters available."
"what is CSMT?","Station: Chhatrapati Shivaji Maharaj Terminus (CSMT) (Maharashtra)\n- Details: UNESCO World Heritage site, HQ of Central Railway. Has multiple platforms, suburban and long-distance train services."
